YEAR ,LocationAbbr ,LocationDesc ,DataSource ,Topic ,Subtopic ,ShortQuestionText ,Greater_Risk_Question ,Description ,Data_Value_Symbol ,Data_Value_Type ,Greater_Risk_Data_Value ,Greater_Risk_Data_Value_Footnote_Symbol ,Greater_Risk_Data_Value_Footnote ,Greater_Risk_Low_Confidence_Limit ,Greater_Risk_High_Confidence_Limit ,Lesser_Risk_Question ,Lesser_Risk_Data_Value ,Lesser_Risk_Data_Value_Footnote_Symbol ,Lesser_Risk_Data_Value_Footnote ,Lesser_Risk_Low_Confidence_Limit ,Lesser_Risk_High_Confidence_Limit ,Sample_Size ,Sex ,Race ,Grade ,SexualIdentity ,SexOfSexualContacts ,GeoLocation ,TopicId ,SubTopicID ,QuestionCode ,LocationId ,StratID1 ,StratID2 ,StratID3 ,StratID4 ,StratID5 ,StratificationType ,StratID6 
2017,LO,"Los Angeles, CA",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,2.7301,,,1.9165,3.8754,Did not currently smoke cigars,97.2699,,,96.1246,98.0835,1381,Total,Total,Total,Total,Total,"(34.052234, -118.243685)",C02,C13,H38,100,S1,R1,G1,LO,I1,Local,P1
2015,NYG,"Borough of Bronx, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9443,,,0.5251,1.6924,Did not currently smoke cigars daily,99.0557,,,98.3076,99.4749,1716,Total,Total,Total,Total,Total,"(40.844782, -73.864827)",C02,C13,QNDAYCGR,116,S1,R1,G1,NYG,I1,Local,P1
2015,MP,Northern Mariana Islands,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.2946,,,5.4707,7.2331,Did not currently smoke cigars,93.7054,,,92.7669,94.5293,2401,Total,Total,Total,Total,Total,"(15.0979, 145.6739)",C02,C13,H38,203,S1,R1,G1,MP,I1,Territory,P1
2015,NYK,"Borough of Staten Island, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.9777,,,0.4181,2.2691,Did not currently frequently smoke cigars,99.0223,,,97.7309,99.5819,1260,Total,Total,Total,Total,Total,"(40.579532, -74.150201)",C02,C13,QNFRCGR,120,S1,R1,G1,NYK,I1,Local,P1
2015,DE,Delaware,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,2.1948,,,1.5276,3.1442,Did not currently smoke cigars daily,97.8052,,,96.8558,98.4724,2680,Total,Total,Total,Total,Total,"(39.008830667, -75.577741168)",C02,C13,QNDAYCGR,10,S1,R1,G1,DE,I1,State,P1
2017,PH,"Philadelphia, PA",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.91,,,0.3417,2.4004,Did not currently frequently smoke cigars,99.09,,,97.5996,99.6583,1548,Total,Total,Total,Total,Total,"(39.952584, -75.165222)",C02,C13,QNFRCGR,124,S1,R1,G1,PH,I1,Local,P1
2015,TN,Tennessee,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.9754,,,9.9172,12.1314,Did not currently smoke cigars,89.0246,,,87.8686,90.0828,4113,Total,Total,Total,Total,Total,"(35.68094058, -85.774490914)",C02,C13,H38,47,S1,R1,G1,TN,I1,State,P1
2015,HO,"Houston, TX",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,13.3336,,,11.9754,14.8199,Did not currently smoke cigars,86.6664,,,85.1801,88.0246,3046,Total,Total,Total,Total,Total,"(29.760427, -95.369803)",C02,C13,H38,128,S1,R1,G1,HO,I1,Local,P1
2017,DCB,District of Columbia,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.1319,,,0.9036,1.4171,Did not currently frequently smoke cigars,98.8681,,,98.5829,99.0964,8235,Total,Total,Total,Total,Total,"(38.890371385, -77.031961127)",C02,C13,QNFRCGR,11,S1,R1,G1,DCB,I1,Local,P1
2015,OL,"Orange County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,2.4628,,,1.7235,3.5078,Did not currently frequently smoke cigars,97.5372,,,96.4922,98.2765,1447,Total,Total,Total,Total,Total,"(28.4845, -81.251883)",C02,C13,QNFRCGR,109,S1,R1,G1,OL,I1,Local,P1
2017,VT,Vermont,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,9.4039,,,9.0034,9.8203,Did not currently smoke cigars,90.5961,,,90.1797,90.9966,20421,Total,Total,Total,Total,Total,"(43.625381239, -72.517640791)",C02,C13,H38,50,S1,R1,G1,VT,I1,State,P1
2017,HO,"Houston, TX",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8033,,,0.5107,1.2614,Did not currently smoke cigars daily,99.1967,,,98.7386,99.4893,2936,Total,Total,Total,Total,Total,"(29.760427, -95.369803)",C02,C13,QNDAYCGR,128,S1,R1,G1,HO,I1,Local,P1
2017,DKC,"DeKalb County, GA",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.3763,,,0.8701,2.1704,Did not currently frequently smoke cigars,98.6237,,,97.8296,99.1299,1854,Total,Total,Total,Total,Total,"(33.795644, -84.22788)",C02,C13,QNFRCGR,111,S1,R1,G1,DKC,I1,Local,P1
2015,TN,Tennessee,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.7099,,,1.1946,2.4419,Did not currently frequently smoke cigars,98.2901,,,97.5581,98.8054,4113,Total,Total,Total,Total,Total,"(35.68094058, -85.774490914)",C02,C13,QNFRCGR,47,S1,R1,G1,TN,I1,State,P1
2015,DT,"Detroit, MI",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7509,,,0.4026,1.3963,Did not currently frequently smoke cigars,99.2491,,,98.6037,99.5974,1668,Total,Total,Total,Total,Total,"(42.331427, -83.045754)",C02,C13,QNFRCGR,115,S1,R1,G1,DT,I1,Local,P1
2017,MT,Montana,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0844,,,0.7982,1.4717,Did not currently frequently smoke cigars,98.9156,,,98.5283,99.2018,4718,Total,Total,Total,Total,Total,"(47.066528972, -109.424420645)",C02,C13,QNFRCGR,30,S1,R1,G1,MT,I1,State,P1
2015,XX,United States,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9653,,,0.7266,1.2812,Did not currently smoke cigars daily,99.0347,,,98.7188,99.2734,15185,Total,Total,Total,Total,Total,,C02,C13,QNDAYCGR,59,S1,R1,G1,XX,I1,National,P1
2015,PR,Puerto Rico,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.86,,,0.4576,1.6106,Did not currently frequently smoke cigars,99.14,,,98.3894,99.5424,1608,Total,Total,Total,Total,Total,"(18.220833, -66.590149)",C02,C13,QNFRCGR,72,S1,R1,G1,PR,I1,Territory,P1
2015,PA,Pennsylvania,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.3439,,,0.8792,2.049,Did not currently frequently smoke cigars,98.6561,,,97.951,99.1208,2860,Total,Total,Total,Total,Total,"(40.793730152, -77.860700294)",C02,C13,QNFRCGR,42,S1,R1,G1,PA,I1,State,P1
2017,PA,Pennsylvania,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.792,,,0.5054,1.2391,Did not currently frequently smoke cigars,99.208,,,98.7609,99.4946,3683,Total,Total,Total,Total,Total,"(40.793730152, -77.860700294)",C02,C13,QNFRCGR,42,S1,R1,G1,PA,I1,State,P1
2017,NYG,"Borough of Bronx, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7999,,,0.4758,1.3417,Did not currently frequently smoke cigars,99.2001,,,98.6583,99.5242,1975,Total,Total,Total,Total,Total,"(40.844782, -73.864827)",C02,C13,QNFRCGR,116,S1,R1,G1,NYG,I1,Local,P1
2017,DU,"Duval County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9836,,,0.661,1.4613,Did not currently smoke cigars daily,99.0164,,,98.5387,99.339,3373,Total,Total,Total,Total,Total,"(30.350051, -81.603506)",C02,C13,QNDAYCGR,107,S1,R1,G1,DU,I1,Local,P1
2017,NYI,"Borough of Manhattan, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.9032,,,0.6044,1.3476,Did not currently frequently smoke cigars,99.0968,,,98.6524,99.3956,2269,Total,Total,Total,Total,Total,"(40.78306, -73.971249)",C02,C13,QNFRCGR,118,S1,R1,G1,NYI,I1,Local,P1
2017,ST,"Shelby County, TN",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.1747,,,0.6545,2.0996,Did not currently frequently smoke cigars,98.8253,,,97.9004,99.3455,1873,Total,Total,Total,Total,Total,,C02,C13,QNFRCGR,NULL,S1,R1,G1,ST,I1,Local,P1
2017,XX,United States,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9619,,,0.7549,1.225,Did not currently smoke cigars daily,99.0381,,,98.775,99.2451,14411,Total,Total,Total,Total,Total,,C02,C13,QNDAYCGR,59,S1,R1,G1,XX,I1,National,P1
2017,SC,South Carolina,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.9946,,,1.3512,2.9352,Did not currently frequently smoke cigars,98.0054,,,97.0648,98.6488,1458,Total,Total,Total,Total,Total,"(33.998821303, -81.045371207)",C02,C13,QNFRCGR,45,S1,R1,G1,SC,I1,State,P1
2015,CA,California,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.7001,,,0.2835,1.7183,Did not currently smoke cigars daily,99.2999,,,98.2817,99.7165,1731,Total,Total,Total,Total,Total,"(37.638640123, -120.999999538)",C02,C13,QNDAYCGR,06,S1,R1,G1,CA,I1,State,P1
2017,GU,Guam,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.7998,,,5.3068,8.6743,Did not currently smoke cigars,93.2002,,,91.3257,94.6932,1182,Total,Total,Total,Total,Total,"(13.444304, 144.793731)",C02,C13,H38,66,S1,R1,G1,GU,I1,Territory,P1
2017,HO,"Houston, TX",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.0137,,,5.9789,8.2119,Did not currently smoke cigars,92.9863,,,91.7881,94.0211,2936,Total,Total,Total,Total,Total,"(29.760427, -95.369803)",C02,C13,H38,128,S1,R1,G1,HO,I1,Local,P1
2015,NE,Nebraska,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8029,,,0.4094,1.5685,Did not currently smoke cigars daily,99.1971,,,98.4315,99.5906,1667,Total,Total,Total,Total,Total,"(41.641040988001, -99.365720623)",C02,C13,QNDAYCGR,31,S1,R1,G1,NE,I1,State,P1
2017,SC,South Carolina,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.777,,,9.0422,12.7977,Did not currently smoke cigars,89.223,,,87.2023,90.9578,1458,Total,Total,Total,Total,Total,"(33.998821303, -81.045371207)",C02,C13,H38,45,S1,R1,G1,SC,I1,State,P1
2015,NM,New Mexico,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.4906,,,9.5326,11.5325,Did not currently smoke cigars,89.5094,,,88.4675,90.4674,8270,Total,Total,Total,Total,Total,"(34.520880952, -106.240580985)",C02,C13,H38,35,S1,R1,G1,NM,I1,State,P1
2015,DT,"Detroit, MI",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,9.3064,,,7.6981,11.21,Did not currently smoke cigars,90.6936,,,88.79,92.3019,1668,Total,Total,Total,Total,Total,"(42.331427, -83.045754)",C02,C13,H38,115,S1,R1,G1,DT,I1,Local,P1
2015,WY,Wyoming,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,12.6206,,,10.594,14.97,Did not currently smoke cigars,87.3794,,,85.03,89.406,2409,Total,Total,Total,Total,Total,"(43.235541343, -108.109830353)",C02,C13,H38,56,S1,R1,G1,WY,I1,State,P1
2015,DU,"Duval County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.8992,,,1.4134,2.5477,Did not currently frequently smoke cigars,98.1008,,,97.4523,98.5866,3496,Total,Total,Total,Total,Total,"(30.350051, -81.603506)",C02,C13,QNFRCGR,107,S1,R1,G1,DU,I1,Local,P1
2017,IA,Iowa,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0875,,,0.6672,1.7677,Did not currently frequently smoke cigars,98.9125,,,98.2323,99.3328,1675,Total,Total,Total,Total,Total,"(42.469400913, -93.816490556)",C02,C13,QNFRCGR,19,S1,R1,G1,IA,I1,State,P1
2017,VA,Virginia,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9453,,,0.5548,1.6063,Did not currently smoke cigars daily,99.0547,,,98.3937,99.4452,3617,Total,Total,Total,Total,Total,"(37.542680674, -78.457890463)",C02,C13,QNDAYCGR,51,S1,R1,G1,VA,I1,State,P1
2017,SA,"San Diego, CA",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.623,,,0.3138,1.233,Did not currently smoke cigars daily,99.377,,,98.767,99.6862,2403,Total,Total,Total,Total,Total,"(32.715738, -117.161084)",C02,C13,QNDAYCGR,103,S1,R1,G1,SA,I1,Local,P1
2015,PB,"Palm Beach County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.1625,,,0.7063,1.9077,Did not currently smoke cigars daily,98.8375,,,98.0923,99.2937,2025,Total,Total,Total,Total,Total,"(26.65145, -80.276733)",C02,C13,QNDAYCGR,110,S1,R1,G1,PB,I1,Local,P1
2017,FT,"Broward County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,4.8338,,,3.1588,7.3298,Did not currently smoke cigars,95.1662,,,92.6702,96.8412,919,Total,Total,Total,Total,Total,"(26.190096, -80.365865)",C02,C13,H38,106,S1,R1,G1,FT,I1,Local,P1
2015,NYG,"Borough of Bronx, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.011,,,0.566,1.7995,Did not currently frequently smoke cigars,98.989,,,98.2005,99.434,1716,Total,Total,Total,Total,Total,"(40.844782, -73.864827)",C02,C13,QNFRCGR,116,S1,R1,G1,NYG,I1,Local,P1
2015,FW,"Fort Worth, TX",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.653,,,0.3948,1.0784,Did not currently smoke cigars daily,99.347,,,98.9216,99.6052,2579,Total,Total,Total,Total,Total,"(32.755488, -97.330766)",C02,C13,QNDAYCGR,127,S1,R1,G1,FW,I1,Local,P1
2015,AL,Alabama,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8701,,,0.569,1.3284,Did not currently smoke cigars daily,99.1299,,,98.6716,99.431,1547,Total,Total,Total,Total,Total,"(32.840571122, -86.631860762)",C02,C13,QNDAYCGR,01,S1,R1,G1,AL,I1,State,P1
2017,UT,Utah,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.5356,,,0.2541,1.1252,Did not currently frequently smoke cigars,99.4644,,,98.8748,99.7459,1828,Total,Total,Total,Total,Total,"(39.360700171, -111.587130635)",C02,C13,QNFRCGR,49,S1,R1,G1,UT,I1,State,P1
2017,NYC,"New York City, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,5.7678,,,4.8512,6.845,Did not currently smoke cigars,94.2322,,,93.155,95.1488,9535,Total,Total,Total,Total,Total,"(40.712784, -74.005941)",C02,C13,H38,121,S1,R1,G1,NYC,I1,Local,P1
2015,DU,"Duval County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,12.7586,,,10.5957,15.2875,Did not currently smoke cigars,87.2414,,,84.7125,89.4043,3496,Total,Total,Total,Total,Total,"(30.350051, -81.603506)",C02,C13,H38,107,S1,R1,G1,DU,I1,Local,P1
2017,TX,Texas,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.0007,,,0.5603,1.781,Did not currently smoke cigars daily,98.9993,,,98.219,99.4397,2075,Total,Total,Total,Total,Total,"(31.827240407, -99.426770206)",C02,C13,QNDAYCGR,48,S1,R1,G1,TX,I1,State,P1
2015,XX,United States,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.3476,,,1.0275,1.7657,Did not currently frequently smoke cigars,98.6524,,,98.2343,98.9725,15185,Total,Total,Total,Total,Total,,C02,C13,QNFRCGR,59,S1,R1,G1,XX,I1,National,P1
2017,UT,Utah,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,3.1653,,,2.1302,4.6793,Did not currently smoke cigars,96.8347,,,95.3207,97.8698,1828,Total,Total,Total,Total,Total,"(39.360700171, -111.587130635)",C02,C13,H38,49,S1,R1,G1,UT,I1,State,P1
2017,IL,Illinois,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8158,,,0.525,1.2656,Did not currently smoke cigars daily,99.1842,,,98.7344,99.475,4883,Total,Total,Total,Total,Total,"(40.485010283, -88.997710178)",C02,C13,QNDAYCGR,17,S1,R1,G1,IL,I1,State,P1
2015,LO,"Los Angeles, CA",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,4.3932,,,2.9789,6.4344,Did not currently smoke cigars,95.6068,,,93.5656,97.0211,2315,Total,Total,Total,Total,Total,"(34.052234, -118.243685)",C02,C13,H38,100,S1,R1,G1,LO,I1,Local,P1
2015,SD,South Dakota,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.2117,,,0.5225,2.7848,Did not currently smoke cigars daily,98.7883,,,97.2152,99.4775,1294,Total,Total,Total,Total,Total,"(44.353130053, -100.373530637)",C02,C13,QNDAYCGR,46,S1,R1,G1,SD,I1,State,P1
2015,AR,Arkansas,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,14.2294,,,11.8567,16.9854,Did not currently smoke cigars,85.7706,,,83.0146,88.1433,2825,Total,Total,Total,Total,Total,"(34.748650124, -92.274490743)",C02,C13,H38,05,S1,R1,G1,AR,I1,State,P1
2015,MS,Mississippi,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,16.4528,,,14.2374,18.9368,Did not currently smoke cigars,83.5472,,,81.0632,85.7626,2144,Total,Total,Total,Total,Total,"(32.745510099, -89.538030825)",C02,C13,H38,28,S1,R1,G1,MS,I1,State,P1
2015,NYC,"New York City, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.748,,,0.4322,1.2916,Did not currently frequently smoke cigars,99.252,,,98.7084,99.5678,8108,Total,Total,Total,Total,Total,"(40.712784, -74.005941)",C02,C13,QNFRCGR,121,S1,R1,G1,NYC,I1,Local,P1
2015,DE,Delaware,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.9046,,,8.8976,13.2981,Did not currently smoke cigars,89.0954,,,86.7019,91.1024,2680,Total,Total,Total,Total,Total,"(39.008830667, -75.577741168)",C02,C13,H38,10,S1,R1,G1,DE,I1,State,P1
2015,DKC,"DeKalb County, GA",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,9.7332,,,8.0984,11.6562,Did not currently smoke cigars,90.2668,,,88.3438,91.9016,1859,Total,Total,Total,Total,Total,"(33.795644, -84.22788)",C02,C13,H38,111,S1,R1,G1,DKC,I1,Local,P1
2015,PH,"Philadelphia, PA",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.5282,,,8.1139,13.5549,Did not currently smoke cigars,89.4718,,,86.4451,91.8861,1646,Total,Total,Total,Total,Total,"(39.952584, -75.165222)",C02,C13,H38,124,S1,R1,G1,PH,I1,Local,P1
2015,NYG,"Borough of Bronx, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,5.4192,,,4.0016,7.3009,Did not currently smoke cigars,94.5808,,,92.6991,95.9984,1716,Total,Total,Total,Total,Total,"(40.844782, -73.864827)",C02,C13,H38,116,S1,R1,G1,NYG,I1,Local,P1
2017,NYJ,"Borough of Queens, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.3241,,,0.7495,2.3289,Did not currently frequently smoke cigars,98.6759,,,97.6711,99.2505,1437,Total,Total,Total,Total,Total,"(40.728224, -73.794852)",C02,C13,QNFRCGR,119,S1,R1,G1,NYJ,I1,Local,P1
2017,DCB,District of Columbia,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.514,,,9.7904,11.2844,Did not currently smoke cigars,89.486,,,88.7156,90.2096,8235,Total,Total,Total,Total,Total,"(38.890371385, -77.031961127)",C02,C13,H38,11,S1,R1,G1,DCB,I1,Local,P1
2015,ND,North Dakota,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,9.1969,,,7.7801,10.8415,Did not currently smoke cigars,90.8031,,,89.1585,92.2199,2116,Total,Total,Total,Total,Total,"(47.475319779, -100.118421049)",C02,C13,H38,38,S1,R1,G1,ND,I1,State,P1
2015,CA,California,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.7563,,,4.9494,9.1594,Did not currently smoke cigars,93.2437,,,90.8406,95.0506,1731,Total,Total,Total,Total,Total,"(37.638640123, -120.999999538)",C02,C13,H38,06,S1,R1,G1,CA,I1,State,P1
